entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
107985119	LOC107985119	uncharacterized LOC107985119	18	ncRNA		
107985120	LOC107985120	uncharacterized LOC107985120	18	ncRNA		
107985122	LOC107985122	kinesin-like protein KIF1C pseudogene	18	pseudo		
107985124	LOC107985124	uncharacterized LOC107985124	1	ncRNA		
107985125	LOC107985125	uncharacterized LOC107985125	18	ncRNA		
107985126	LOC107985126	uncharacterized LOC107985126	18	ncRNA		
107985128	LINC01916	long intergenic non-protein coding RNA 1916	18	ncRNA		
107985129	LOC107985129	uncharacterized LOC107985129	18	ncRNA		
107985130	LOC107985130	uncharacterized LOC107985130	18	ncRNA		
107985131	LOC107985131	small ubiquitin-related modifier 2 pseudogene	18	pseudo		
107985132	LOC107985132	uncharacterized LOC107985132	18	ncRNA		
107985134	LOC107985134	uncharacterized LOC107985134	18	ncRNA		
107985135	LOC107985135	uncharacterized LOC107985135	18	ncRNA		
107985136	LOC107985136	uncharacterized LOC107985136	18	ncRNA		
107985137	LOC107985137	uncharacterized LOC107985137	18	ncRNA		
107985138	LOC107985138	uncharacterized LOC107985138	18	ncRNA		
107985139	LOC107985139	uncharacterized LOC107985139	18	ncRNA		
107985140	WDR7-OT1	WDR7 overlapping transcript 1	18	ncRNA	WDR7-UA1|WDR7-UT1	WDR7 3'UTR-associated RNA 1|WDR7 overlapping transcript 1 (non-protein coding)
107985141	LOC107985141	uncharacterized LOC107985141	18	ncRNA		
107985142	LOC107985142	uncharacterized LOC107985142	18	ncRNA		
107985143	LOC107985143	uncharacterized LOC107985143	18	ncRNA		
107985144	LOC107985144	uncharacterized LOC107985144	18	ncRNA		
107985145	LOC107985145	uncharacterized LOC107985145	18	ncRNA		
107985146	LINC01897	long intergenic non-protein coding RNA 1897	18	ncRNA		
107985147	LOC107985147	uncharacterized LOC107985147	18	ncRNA		
107985149	LOC107985149	histidine-rich protein PFHRP-II-like	18	protein-coding		histidine-rich protein PFHRP-II-like
107985151	LOC107985151	uncharacterized LOC107985151	18	ncRNA		
107985152	LOC107985152	uncharacterized LOC107985152	18	ncRNA		
107985153	LOC107985153	uncharacterized LOC107985153	18	ncRNA		
107985154	LOC107985154	uncharacterized LOC107985154	18	ncRNA		
107985155	LOC107985155	uncharacterized LOC107985155	18	ncRNA		
107985156	LOC107985156	uncharacterized LOC107985156	18	ncRNA		
107985157	LOC107985157	uncharacterized LOC107985157	18	ncRNA		
107985158	LOC107985158	uncharacterized LOC107985158	18	ncRNA		
107985159	LOC107985159	uncharacterized LOC107985159	1	ncRNA		
107985160	LOC107985160	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 pseudogene	1	pseudo		
107985161	LOC107985161	uncharacterized LOC107985161	18	ncRNA		
107985162	LOC107985162	uncharacterized LOC107985162	18	ncRNA		
107985163	LOC107985163	uncharacterized LOC107985163	18	ncRNA		
107985164	LOC107985164	uncharacterized LOC107985164	18	ncRNA		
107985165	LOC107985165	uncharacterized LOC107985165	18	ncRNA		
107985166	LOC107985166	uncharacterized LOC107985166	18	ncRNA		
107985167	LINC01768	long intergenic non-protein coding RNA 1768	1	ncRNA		
107985168	LOC107985168	uncharacterized LOC107985168	18	ncRNA		
107985171	LOC107985171	uncharacterized LOC107985171	18	ncRNA		
107985172	LOC107985172	uncharacterized LOC107985172	18	ncRNA		
107985173	LOC107985173	uncharacterized LOC107985173	18	ncRNA		
107985174	LOC107985174	uncharacterized LOC107985174	1	ncRNA		
107985176	LOC107985176	uncharacterized LOC107985176	18	ncRNA		
107985177	LOC107985177	uncharacterized LOC107985177	18	ncRNA		
107985178	LOC107985178	uncharacterized LOC107985178	18	ncRNA		
107985179	LOC107985179	uncharacterized LOC107985179	18	ncRNA		
107985180	LOC107985180	uncharacterized LOC107985180	1	ncRNA		
107985181	LOC107985181	uncharacterized LOC107985181	18	ncRNA		
107985182	LOC107985182	uncharacterized LOC107985182	18	ncRNA		
107985183	LOC107985183	uncharacterized LOC107985183	18	ncRNA		
107985184	LOC107985184	protein enabled homolog	1	protein-coding		protein enabled homolog
107985185	LOC107985185	uncharacterized LOC107985185	18	ncRNA		
107985186	LOC107985186	uncharacterized LOC107985186	18	ncRNA		
107985188	LOC107985188	uncharacterized LOC107985188	18	ncRNA		
107985189	LOC107985189	uncharacterized LOC107985189	1	ncRNA		
107985190	LINC01779	long intergenic non-protein coding RNA 1779	1	ncRNA		
107985191	LOC107985191	uncharacterized LOC107985191	1	ncRNA		
107985192	LOC107985192	uncharacterized LOC107985192	1	ncRNA		
107985193	LOC107985193	uncharacterized LOC107985193	1	ncRNA		
107985194	LOC107985194	uncharacterized LOC107985194	1	ncRNA		
107985195	LINC01691	long intergenic non-protein coding RNA 1691	1	ncRNA		
107985200	LOC107985200	uncharacterized LOC107985200	1	ncRNA		
107985201	LOC107985201	uncharacterized LOC107985201	1	ncRNA		
107985203	LOC107985203	uncharacterized LOC107985203	1	ncRNA		
107985204	LOC107985204	uncharacterized LOC107985204	1	ncRNA		
107985206	LOC107985206	uncharacterized LOC107985206	1	ncRNA		
107985207	LOC107985207	uncharacterized LOC107985207	1	ncRNA		
107985208	LOC107985208	uncharacterized LOC107985208	1	ncRNA		
107985209	LOC107985209	uncharacterized LOC107985209	1	ncRNA		
107985210	LOC107985210	uncharacterized LOC107985210	1	ncRNA		
107985211	LOC107985211	uncharacterized LOC107985211	1	ncRNA		
107985212	LOC107985212	uncharacterized LOC107985212	1	ncRNA		
107985213	LOC107985213	uncharacterized LOC107985213	1	ncRNA		
107985215	LOC107985215	uncharacterized LOC107985215	1	ncRNA		
107985216	LOC107985216	uncharacterized LOC107985216	1	ncRNA		
107985217	LOC107985217	uncharacterized LOC107985217	1	ncRNA		
107985219	LOC107985219	uncharacterized LOC107985219	1	ncRNA		
107985220	LOC107985220	uncharacterized LOC107985220	1	ncRNA		
107985221	LOC107985221	uncharacterized LOC107985221	1	ncRNA		
107985222	LOC107985222	cytochrome c oxidase subunit 7B, mitochondrial pseudogene	1	pseudo		
107985223	LOC107985223	uncharacterized LOC107985223	1	ncRNA		
107985224	LOC107985224	uncharacterized LOC107985224	1	ncRNA		
107985225	LOC107985225	uncharacterized LOC107985225	1	ncRNA		
107985227	LOC107985227	uncharacterized LOC107985227	1	ncRNA		
107985228	LOC107985228	uncharacterized LOC107985228	1	ncRNA		
107985229	LOC107985229	uncharacterized LOC107985229	1	ncRNA		
107985230	LOC107985230	uncharacterized LOC107985230	1	ncRNA		
107985231	LOC107985231	uncharacterized LOC107985231	1	ncRNA		
107985232	LOC107985232	uncharacterized LOC107985232	1	ncRNA		
107985233	LOC107985233	uncharacterized LOC107985233	1	ncRNA		
107985235	LOC107985235	uncharacterized LOC107985235	1	ncRNA		
107985236	LOC107985236	uncharacterized LOC107985236	1	ncRNA		
107985238	LOC107985238	uncharacterized LOC107985238	1	ncRNA		
107985239	LOC107985239	uncharacterized LOC107985239	1	ncRNA		
107985241	LOC107985241	uncharacterized LOC107985241	1	ncRNA		
107985242	LOC107985242	uncharacterized LOC107985242	1	ncRNA		
107985243	LOC107985243	uncharacterized LOC107985243	1	ncRNA		
107985244	LOC107985244	uncharacterized LOC107985244	1	ncRNA		
107985245	LOC107985245	uncharacterized LOC107985245	1	ncRNA		
107985246	LOC107985246	translation initiation factor IF-2	1	protein-coding		uncharacterized protein LOC107985246
107985249	LOC107985249	uncharacterized LOC107985249	1	ncRNA		
107985250	LOC107985250	uncharacterized LOC107985250	1	ncRNA		
107985251	LOC107985251	uncharacterized LOC107985251	1	ncRNA		
107985253	LOC107985253	uncharacterized LOC107985253	1	ncRNA		
107985254	LINC01735	long intergenic non-protein coding RNA 1735	1	ncRNA		
107985255	LOC107985255	uncharacterized LOC107985255	1	ncRNA		
107985256	LOC107985256	uncharacterized LOC107985256	1	ncRNA		
107985257	LOC107985257	uncharacterized LOC107985257	1	ncRNA		
107985258	LOC107985258	uncharacterized LOC107985258	1	ncRNA		
107985259	LOC107985259	uncharacterized LOC107985259	1	ncRNA		
107985260	LOC107985260	uncharacterized LOC107985260	1	ncRNA		
107985261	LOC107985261	uncharacterized LOC107985261	1	ncRNA		
107985262	LOC107985262	uncharacterized LOC107985262	1	ncRNA		
107985263	LOC107985263	uncharacterized LOC107985263	1	ncRNA		
107985264	LOC107985264	60S ribosomal protein L35a-like	19	pseudo		
107985265	LOC107985265	cytochrome c oxidase assembly protein COX16 homolog, mitochondrial pseudogene	19	pseudo		
107985268	LOC107985268	uncharacterized LOC107985268	19	ncRNA		
107985269	LOC107985269	uncharacterized LOC107985269	19	ncRNA		
107985270	LOC107985270	uncharacterized LOC107985270	19	ncRNA		
107985271	LOC107985271	uncharacterized LOC107985271	19	ncRNA		
107985272	LOC107985272	uncharacterized LOC107985272	1	ncRNA		
107985273	LOC107985273	uncharacterized LOC107985273	19	ncRNA		
107985274	RPS27AP19	ribosomal protein S27a pseudogene 19	19	pseudo		
107985276	LOC107985276	zinc finger protein 440-like	19	pseudo		
107985278	LOC107985278	uncharacterized LOC107985278	19	ncRNA		
107985279	LOC107985279	uncharacterized LOC107985279	19	ncRNA		
107985280	LINC01834	long intergenic non-protein coding RNA 1834	19	ncRNA		
107985281	LOC107985281	uncharacterized LOC107985281	1	ncRNA		
107985282	LOC107985282	uncharacterized LOC107985282	19	ncRNA		
107985284	LOC107985284	uncharacterized LOC107985284	19	ncRNA		
107985285	LOC107985285	uncharacterized LOC107985285	19	ncRNA		
107985286	LOC107985286	uncharacterized LOC107985286	19	ncRNA		
107985287	LOC107985287	uncharacterized LOC107985287	19	ncRNA		
107985288	LOC107985288	uncharacterized LOC107985288	19	ncRNA		
107985289	LOC107985289	uncharacterized LOC107985289	19	ncRNA		
107985290	LOC107985290	uncharacterized LOC107985290	19	ncRNA		
107985291	LOC107985291	uncharacterized LOC107985291	19	ncRNA		
107985293	LOC107985293	uncharacterized LOC107985293	19	ncRNA		
107985295	LOC107985295	uncharacterized LOC107985295	19	ncRNA		
107985296	LOC107985296	uncharacterized LOC107985296	1	ncRNA		
107985297	LOC107985297	uncharacterized LOC107985297	19	ncRNA		
107985299	LOC107985299	uncharacterized LOC107985299	19	ncRNA		
107985300	LOC107985300	uncharacterized LOC107985300	1	ncRNA		
107985301	LOC107985301	uncharacterized LOC107985301	19	ncRNA		
107985302	LOC107985302	uncharacterized LOC107985302	19	ncRNA		
107985303	LOC107985303	uncharacterized LOC107985303	19	ncRNA		
107985304	LOC107985304	uncharacterized LOC107985304	19	ncRNA		
107985305	LOC107985305	uncharacterized LOC107985305	19	ncRNA		
107985306	LOC107985306	uncharacterized LOC107985306	19	ncRNA		
107985307	LINC01705	long intergenic non-protein coding RNA 1705	1	ncRNA		
107985308	LOC107985308	uncharacterized LOC107985308	19	ncRNA		
107985309	LOC107985309	uncharacterized LOC107985309	19	protein-coding		
107985311	LOC107985311	uncharacterized LOC107985311	19	ncRNA		
107985312	LINC01791	long intergenic non-protein coding RNA 1791	19	ncRNA		
107985314	LOC107985314	uncharacterized LOC107985314	19	ncRNA		
107985315	LOC107985315	uncharacterized LOC107985315	19	ncRNA		
107985317	LOC107985317	uncharacterized LOC107985317	19	ncRNA		
107985318	LOC107985318	uncharacterized LOC107985318	1	ncRNA		
107985320	LOC107985320	uncharacterized LOC107985320	19	protein-coding		uncharacterized protein LOC107985320
107985321	LOC107985321	uncharacterized LOC107985321	19	ncRNA		
107985322	LOC107985322	uncharacterized LOC107985322	19	ncRNA		
107985323	LOC107985323	uncharacterized LOC107985323	1	ncRNA		
107985324	LOC107985324	uncharacterized LOC107985324	19	ncRNA		
107985325	LOC107985325	uncharacterized LOC107985325	19	ncRNA		
107985326	LOC107985326	uncharacterized LOC107985326	19	ncRNA		
107985327	LOC107985327	uncharacterized LOC107985327	19	ncRNA		
107985329	LOC107985329	uncharacterized LOC107985329	19	ncRNA		
107985332	LOC107985332	uncharacterized LOC107985332	19	protein-coding		uncharacterized protein LOC107985332|CTD-2620I22.3
107985334	LOC107985334	uncharacterized LOC107985334	19	ncRNA		
107985335	LOC107985335	uncharacterized LOC107985335	19	ncRNA		
107985336	LOC107985336	uncharacterized LOC107985336	19	ncRNA		
107985337	LOC107985337	uncharacterized LOC107985337	19	ncRNA		
107985338	LOC107985338	uncharacterized LOC107985338	1	ncRNA		
107985340	LOC107985340	uncharacterized LOC107985340	19	ncRNA		
107985341	LOC107985341	uncharacterized LOC107985341	19	ncRNA		
107985342	LOC107985342	uncharacterized LOC107985342	19	ncRNA		
107985343	LINC01836	long intergenic non-protein coding RNA 1836	19	ncRNA		
107985345	LOC107985345	uncharacterized LOC107985345	19	ncRNA		
107985346	LOC107985346	uncharacterized LOC107985346	19	ncRNA		
107985347	LOC107985347	uncharacterized LOC107985347	19	ncRNA		
107985349	LOC107985349	uncharacterized LOC107985349	19	ncRNA		
107985351	TRNAK-UUU	transfer RNA lysine (anticodon UUU)	19	tRNA		
107985352	LOC107985352	uncharacterized LOC107985352	1	ncRNA		
107985353	ACBD3-AS1	ACBD3 antisense RNA 1	1	ncRNA		RP11-275I14.4
107985354	LOC107985354	uncharacterized LOC107985354	1	ncRNA		
107985355	LOC107985355	uncharacterized LOC107985355	1	ncRNA		
107985357	LOC107985357	uncharacterized LOC107985357	1	ncRNA		
107985358	LOC107985358	uncharacterized LOC107985358	1	ncRNA		
107985359	LOC107985359	uncharacterized LOC107985359	1	ncRNA		
107985360	LOC107985360	uncharacterized LOC107985360	1	ncRNA		
107985361	LOC107985361	uncharacterized LOC107985361	1	ncRNA		
107985362	LOC107985362	uncharacterized LOC107985362	1	ncRNA		
107985363	LOC107985363	uncharacterized LOC107985363	1	ncRNA		
107985364	LOC107985364	uncharacterized LOC107985364	1	ncRNA		
107985365	LOC107985365	uncharacterized LOC107985365	1	ncRNA		
107985366	LOC107985366	uncharacterized LOC107985366	1	ncRNA		
107985367	LOC107985367	uncharacterized LOC107985367	1	ncRNA		
107985368	LOC107985368	uncharacterized LOC107985368	1	ncRNA		
107985369	LOC107985369	uncharacterized LOC107985369	1	ncRNA		
107985371	LOC107985371	uncharacterized LOC107985371	1	ncRNA		
107985372	LOC107985372	uncharacterized LOC107985372	1	ncRNA		
107985373	LOC107985373	uncharacterized LOC107985373	1	ncRNA		
107985375	LOC107985375	uncharacterized LOC107985375	1	ncRNA		
107985376	LOC107985376	uncharacterized LOC107985376	1	ncRNA		
107985377	LOC107985377	uncharacterized LOC107985377	1	ncRNA		
107985379	LOC107985379	uncharacterized LOC107985379	1	ncRNA		
107985380	LOC107985380	transmembrane protein 14C pseudogene	20	pseudo		
107985381	LOC107985381	uncharacterized LOC107985381	20	protein-coding		uncharacterized protein LOC107985381
107985382	LOC107985382	uncharacterized LOC107985382	20	ncRNA		
107985383	LOC107985383	uncharacterized LOC107985383	20	ncRNA		
107985384	LOC107985384	uncharacterized LOC107985384	20	protein-coding		uncharacterized protein LOC107985384
107985385	LOC107985385	uncharacterized LOC107985385	20	ncRNA		
107985386	LOC107985386	uncharacterized LOC107985386	20	ncRNA		
107985387	LOC107985387	uncharacterized LOC107985387	20	ncRNA		
107985388	LOC107985388	pre-mRNA-splicing factor cwc22-like	20	protein-coding		pre-mRNA-splicing factor cwc22-like
107985389	LOC107985389	uncharacterized LOC107985389	20	ncRNA		
107985391	LOC107985391	uncharacterized LOC107985391	1	ncRNA		
107985392	LOC107985392	uncharacterized LOC107985392	20	ncRNA		
107985393	LOC107985393	uncharacterized LOC107985393	20	ncRNA		
107985394	LOC107985394	uncharacterized LOC107985394	20	ncRNA		
107985395	LOC107985395	uncharacterized LOC107985395	20	ncRNA		
107985396	LOC107985396	uncharacterized LOC107985396	1	ncRNA		
107985397	LOC107985397	uncharacterized LOC107985397	20	ncRNA		
107985398	LOC107985398	uncharacterized LOC107985398	20	ncRNA		
107985399	LOC107985399	uncharacterized LOC107985399	20	ncRNA		
107985400	LOC107985400	uncharacterized LOC107985400	20	ncRNA		
107985401	LOC107985401	uncharacterized LOC107985401	20	ncRNA		
107985402	LOC107985402	uncharacterized LOC107985402	20	ncRNA		
107985403	LOC107985403	uncharacterized LOC107985403	20	ncRNA		
107985404	LOC107985404	uncharacterized LOC107985404	20	ncRNA		
107985405	LOC107985405	uncharacterized LOC107985405	20	ncRNA		
107985406	LOC107985406	uncharacterized LOC107985406	20	ncRNA		
107985407	LOC107985407	uncharacterized LOC107985407	20	ncRNA		
107985408	LOC107985408	uncharacterized LOC107985408	1	ncRNA		
107985409	LOC107985409	uncharacterized LOC107985409	20	ncRNA		
107985410	LOC107985410	uncharacterized LOC107985410	20	protein-coding		uncharacterized protein LOC107985410
107985411	LOC107985411	uncharacterized LOC107985411	20	ncRNA		
107985412	LOC107985412	uncharacterized LOC107985412	1	ncRNA		
107985413	LOC107985413	uncharacterized LOC107985413	20	ncRNA		
107985414	LOC107985414	uncharacterized LOC107985414	20	ncRNA		
107985416	LOC107985416	translation initiation factor IF-2-like	20	protein-coding		uncharacterized protein LOC107985416
107985417	LOC107985417	uncharacterized LOC107985417	1	ncRNA		
107985418	LOC107985418	uncharacterized LOC107985418	20	ncRNA		
107985420	LOC107985420	uncharacterized LOC107985420	1	ncRNA		
107985421	LOC107985421	UPF0587 protein C1orf123 homolog pseudogene	1	pseudo		
107985423	LOC107985423	uncharacterized LOC107985423	20	ncRNA		
107985427	LOC107985427	uncharacterized LOC107985427	20	ncRNA		
